MbdID,INDEX,MbdName,CategoryName,Numerical Distribution
20083332,CERVEZAS,TOTAL LLANOS,CERVEZAS,0.6823
20003994,CERVEZAS,TOTAL COLOMBIA,CERVEZAS,0.6592
20201426,CERVEZAS,DPTO CESAR LA GUAJIRA MAGDALENA_CERV,CERVEZAS,0.5676
20083679,CERVEZAS,TOTAL MEDELLIN TRADICIONALES PEQUE?,CERVEZAS,0.8879
20126351,CERVEZAS,NEW_TOTAL CARTAGENA METRO_75,CERVEZAS,0.651
20083524,CERVEZAS,PACIFICO TRADICIONALES + CONS LOCAL,CERVEZAS,0.6732
20199304,CERVEZAS,AM BARRANQUILLA ON PREMISE,CERVEZAS,0.523
20083465,CERVEZAS,CENTRO TRADICIONALES + CONS LOCAL,CERVEZAS,0.5986
20003900,CERVEZAS,TRADICIONALES + LICORERIAS PACIFICO ANTIG DEF,CERVEZAS,0.8172
20004049,CERVEZAS,SUPERMERCADOS INDEPENDIENTES (SUP+MIN) ANTIOQUIA-CHOCO,CERVEZAS,1
20201467,CERVEZAS,AM CALI TRADICIONALES_CERV,CERVEZAS,0.7968
20083565,CERVEZAS,TOTAL BOYACA,CERVEZAS,0.7099
20035053,CERVEZAS,CENTRO TRADICIONALES + CONS LOCAL,CERVEZAS,0.5986
20199314,CERVEZAS,AM PEREIRA TRADICIONALES,CERVEZAS,0.827
20035055,CERVEZAS,EJE CAFETERO TRADICIONALES + CONS LOCAL,CERVEZAS,0.6595
20003913,CERVEZAS,TOTAL  MEDELLIN SUR,CERVEZAS,0.7046
20126375,CERVEZAS,NEW_TOTAL CUNDINAMARCA ANTIG DEF_75,CERVEZAS,0.6281
20083729,CERVEZAS,TRADICIONALES + LICORERIAS PACIFICO,CERVEZAS,0.8163
20003978,CERVEZAS,TOTAL ATLANTICO CONVENIENCE,CERVEZAS,1
20003867,CERVEZAS,AUTOSERVICIOS ATLANTICO,CERVEZAS,1
20201469,CERVEZAS,AM CARTAGENA TRADICIONALES_CERV,CERVEZAS,0.8082
20199301,CERVEZAS,AM BOGOTA TRADICIONALES,CERVEZAS,0.7591
20004093,CERVEZAS,TOTAL BOYACA TRAD + CONS LOCAL,CERVEZAS,0.6868
20083474,CERVEZAS,TOTAL CENTRO TRADICIONAL,CERVEZAS,0.7728
20126287,CERVEZAS,NEW_TOTAL VILLAVICENCIO METRO_75,CERVEZAS,0.6536
20083541,CERVEZAS,AUTOSERVICIOS ANTIOQUIA ANTIG DEF,CERVEZAS,1
20083337,CERVEZAS,TOTAL PACIFICO TRADICIONAL,CERVEZAS,0.8029
20003965,CERVEZAS,TOTAL CALI METRO,CERVEZAS,0.6979
20201425,CERVEZAS,DPTO CAQUETA ARAUCA CASANARE PUTUMAYO META_CERV,CERVEZAS,0.691
20083219,CERVEZAS,TRADICIONALES + LICORERIAS ORIENTE ANTIG DEF,CERVEZAS,0.7549
20201492,CERVEZAS,AM BUCARAMANGA TRADICIONALES_CERV,CERVEZAS,0.7792
20004053,CERVEZAS,SUPERMERCADOS INDEPENDIENTES (SUP+MIN) EJE CAFETERO,CERVEZAS,1
20003884,CERVEZAS,CONS LOCAL C/MARCA ANTIG DEF,CERVEZAS,0.5216
20003901,CERVEZAS,TRADICIONALES + LICORERIAS ANTIOQUIA ANTIG DEF,CERVEZAS,0.8814
20083338,CERVEZAS,CONS LOCAL LLANOS,CERVEZAS,0.5793
20083545,CERVEZAS,AUTOSERVICIOS CENTRO ANTIG DEF,CERVEZAS,1
20199124,CERVEZAS,DPTO VALLE DEL CAUCA,CERVEZAS,0.717
20003982,CERVEZAS,TOTAL MEDELLIN TRADICIONALES,CERVEZAS,0.9018
20083715,CERVEZAS,TRADICIONALES + CONS LOCAL COLOMBIA,CERVEZAS,0.6356
20003911,CERVEZAS,TOTAL  MEDELLIN,CERVEZAS,0.7758
20083412,CERVEZAS,CONSUMO LOCAL COLOMBIA,CERVEZAS,0.5581
20199286,CERVEZAS,AM CARTAGENA RESTO,CERVEZAS,1
20083614,CERVEZAS,TOTAL SANTANDERES CONVENIENCE,CERVEZAS,1
20004051,CERVEZAS,SUPERMERCADOS INDEPENDIENTES (SUP+MIN) LLANOS,CERVEZAS,1
20201475,CERVEZAS,AM BARRANQUILLA ON PREMISE_CERV,CERVEZAS,0.523
20199296,CERVEZAS,AM BOGOTA RESTO,CERVEZAS,1
20201479,CERVEZAS,AM CUCUTA TRADICIONALES_CERV,CERVEZAS,0.7006
20021662,CERVEZAS,LICORERIAS R/COLOMBIA,CERVEZAS,1
20003988,CERVEZAS,TOTAL BOGOTA TRADICIONALES,CERVEZAS,0.7638
20201476,CERVEZAS,AM CUCUTA RESTO_CERV_SCAN,CERVEZAS,1
20083600,CERVEZAS,AUTOSERVICIOS ORIENTE ANTIG DEF,CERVEZAS,1
20083563,CERVEZAS,TOTAL BARRANQUILLA ORIENTE,CERVEZAS,0.6333
20083214,CERVEZAS,SUPERMERCADOS INDEPENDIENTES (SUP+MIN) COLOMBIA,CERVEZAS,1
20003964,CERVEZAS,TOTAL CARTAGENA METRO,CERVEZAS,0.651
20126420,CERVEZAS,NEW_TOTAL CALI SUR_75,CERVEZAS,0.6446
20083666,CERVEZAS,CONS LOCAL ORIENTE ANTIG DEF,CERVEZAS,0.5869
20083612,CERVEZAS,TOTAL  CALI   NORTE,CERVEZAS,0.6493
20083394,CERVEZAS,SANTANDERES TRADICIONALES + CONS LOCAL,CERVEZAS,0.6443
20199307,CERVEZAS,AM PEREIRA RESTO,CERVEZAS,1
20083673,CERVEZAS,SUPERMERCADOS INDEPENDIENTES (SUP+MIN) CENTRO,CERVEZAS,1
20126349,CERVEZAS,NEW_TOTAL ATLANTICO CONVENIENCE_75,CERVEZAS,1
20083357,CERVEZAS,TOTAL  MEDELLIN CENTRO,CERVEZAS,0.7566
20199293,CERVEZAS,AM VILLAVICENCIO ON PREMISE,CERVEZAS,0.526
20199292,CERVEZAS,AM CALI RESTO,CERVEZAS,1
20004038,CERVEZAS,TOTAL SANTANDERES TRADICIONAL,CERVEZAS,0.7042
20004013,CERVEZAS,AUTOSERVICIOS COLOMBIA,CERVEZAS,1
20003968,CERVEZAS,TOTAL BARRANQUILLA METRO,CERVEZAS,0.6395
20003962,CERVEZAS,TOTAL BUCARAMANGA METRO,CERVEZAS,0.6895
20201490,CERVEZAS,AM BUCARAMANGA RESTO_CERV_SCAN,CERVEZAS,1
20126364,CERVEZAS,NEW_TOTAL COLOMBIA_75,CERVEZAS,0.6592
20199311,CERVEZAS,AM CALI ON PREMISE,CERVEZAS,0.4686
20003958,CERVEZAS,TRADICIONALES + LICORERIAS ANTIOQUIA-CHOCO,CERVEZAS,0.8691
20003914,CERVEZAS,TOTAL  MEDELLIN NORTE,CERVEZAS,0.8337
20126395,CERVEZAS,NEW_TOTAL ATLANTICO_75,CERVEZAS,0.5643
20199125,CERVEZAS,DPTO CHOCO,CERVEZAS,0.797
20126341,CERVEZAS,NEW_TOTAL SANTANDERES_75,CERVEZAS,0.6674
20201486,CERVEZAS,AM BARRANQUILLA TRADICIONALES_CERV,CERVEZAS,0.6884
20126386,CERVEZAS,NEW_TOTAL LLANOS_75,CERVEZAS,0.6823
20083542,CERVEZAS,TOTAL ORIENTE ANTIG DEF,CERVEZAS,0.6813
20083272,CERVEZAS,AUTOSERVICIOS LLANOS,CERVEZAS,1
20126340,CERVEZAS,NEW_TOTAL CENTRO_75,CERVEZAS,0.6311
20083227,CERVEZAS,COLOMBIA RESTO SUPERMERCADOS_CERV_SCAN,CERVEZAS,1
20199313,CERVEZAS,AM MEDELLIN RESTO,CERVEZAS,1
20083555,CERVEZAS,TOTAL PEREIRA METRO,CERVEZAS,0.7294
20004070,CERVEZAS,SUPERMERCADOS INDEPENDIENTES (SUP+MIN) ANTIOQUIA ANTIG DEF,CERVEZAS,1
20004056,CERVEZAS,SUPERMERCADOS INDEPENDIENTES (SUP+MIN) CENTRO,CERVEZAS,1
20126332,CERVEZAS,NEW_AUTOSERVICIOS ANTIOQUIA ANTIG DEF_75,CERVEZAS,1
20126397,CERVEZAS,NEW_AUTOSERVICIOS PACIFICO ANTIG DEF_75,CERVEZAS,1
20126405,CERVEZAS,NEW_AUTOSERVICIOS SANTANDERES_75,CERVEZAS,1
20126359,CERVEZAS,NEW_AUTOSERVICIOS CENTRO_75,CERVEZAS,1
20035059,CERVEZAS,PACIFICO TRADICIONALES + CONS LOCAL,CERVEZAS,0.6732
20003905,CERVEZAS,TOTAL  CALI   ORIENTE,CERVEZAS,0.7621
20003903,CERVEZAS,TRADICIONALES + LICORERIAS CENTRO ANTIG DEF,CERVEZAS,0.8028
20083204,CERVEZAS,TOTAL EJE CAFETERO,CERVEZAS,0.6876
20199131,CERVEZAS,DPTO CAQUETA ARAUCA CASANARE PUTUMAYO META,CERVEZAS,0.691
20199133,CERVEZAS,DPTO CESAR LA GUAJIRA MAGDALENA,CERVEZAS,0.5676
20021664,CERVEZAS,LICORERIAS R/LLANOS AFI/COLOMBIA,CERVEZAS,1
20003980,CERVEZAS,TOTAL CALI TRADICIONALES PEQUE�,CERVEZAS,0.7832
20003916,CERVEZAS,TOTAL  BOGOTA  OCCIDENTE,CERVEZAS,0.619
20083676,CERVEZAS,TRADICIONALES + LICORERIAS ATLANTICO,CERVEZAS,0.5366
20035057,CERVEZAS,CUNDI-BOY TRADICIONALES + CONS LOCAL,CERVEZAS,0.6184
20201466,CERVEZAS,AM VILLAVICENCIO ON PREMISE_CERV,CERVEZAS,0.526
20201489,CERVEZAS,AM CALI ON PREMISE_CERV,CERVEZAS,0.4686
20203919,CERVEZAS,CONSUMO LOCAL BOGOTA,CERVEZAS,0.5153
20083407,CERVEZAS,TOTAL COLOMBIA METROPOLITANA,CERVEZAS,0.6638
20003904,CERVEZAS,TOTAL  CALI,CERVEZAS,0.6897
20126352,CERVEZAS,NEW_TOTAL PEREIRA METRO_75,CERVEZAS,0.7294
20003859,CERVEZAS,TOTAL COLOMBIA ANTIG DEF,CERVEZAS,0.6553
20004015,CERVEZAS,AUTOSERVICIOS PACIFICO,CERVEZAS,1
20126312,CERVEZAS,NEW_AUTOSERVICIOS ATLANTICO_75,CERVEZAS,1
20003952,CERVEZAS,TRADICIONALES + LICORERIAS COLOMBIA,CERVEZAS,0.7334
20003899,CERVEZAS,TRADICIONALES + LICORERIAS C/MARCA ANTIG DEF,CERVEZAS,0.7773
20083215,CERVEZAS,SUPERMERCADOS INDEPENDIENTES (SUP+MIN) SANTANDERES,CERVEZAS,1
20083561,CERVEZAS,TOTAL  CALI,CERVEZAS,0.6897
20083728,CERVEZAS,TOTAL CENTRO TRADICIONALES + MINIMERCADOS ANTIG DEF,CERVEZAS,0.8197
20126401,CERVEZAS,NEW_TOTAL BOGOTA NORTE_75,CERVEZAS,0.6123
20083424,CERVEZAS,SUPERMERCADOS INDEPENDIENTES (SUP+MIN) ORIENTE ANTIG DEF,CERVEZAS,1
20004035,CERVEZAS,TOTAL CUNDI-BOY TRADICIONAL,CERVEZAS,0.7792
20003909,CERVEZAS,TOTAL BARRANQUILLA ORIENTE,CERVEZAS,0.6333
20004030,CERVEZAS,CONS LOCAL LLANOS,CERVEZAS,0.5793
20199290,CERVEZAS,AM PEREIRA ON PREMISE,CERVEZAS,0.5459
20004075,CERVEZAS,TOTAL CENTRO TRADICIONALES + MINIMERCADOS ANTIG DEF,CERVEZAS,0.8197
20003897,CERVEZAS,TRADICIONALES + LICORERIAS COLOMBIA ANTIG DEF,CERVEZAS,0.7309
20083554,CERVEZAS,SUPERMERCADOS INDEPENDIENTES (SUP+MIN) C_MARCA ANTIG DEF,CERVEZAS,1
20018203,CERVEZAS,COLOMBIA SUPERMERCADOS�INDEPENDIENTES ANTIG DEF,CERVEZAS,1
20083328,CERVEZAS,TRADICIONALES + LICORERIAS SANTANDERES,CERVEZAS,0.7121
20083218,CERVEZAS,TRADICIONALES + LICORERIAS ANTIOQUIA ANTIG DEF,CERVEZAS,0.8814
20126333,CERVEZAS,NEW_TOTAL BARRANQUILLA METRO_75,CERVEZAS,0.6395
20004048,CERVEZAS,SUPERMERCADOS INDEPENDIENTES (SUP+MIN) COLOMBIA,CERVEZAS,1
20083663,CERVEZAS,TOTAL COLOMBIA ANTIG DEF,CERVEZAS,0.6553
20004026,CERVEZAS,CONS LOCAL SANTANDERES,CERVEZAS,0.5776
20083349,CERVEZAS,TRADICIONALES + LICORERIAS CENTRO ANTIG DEF,CERVEZAS,0.8028
20004055,CERVEZAS,SUPERMERCADOS INDEPENDIENTES (SUP+MIN) PACIFICO,CERVEZAS,1
20003992,CERVEZAS,COLOMBIA RESTO SUPERMERCADOS,CERVEZAS,1
20083206,CERVEZAS,TOTAL EJE CAFETERO TRADICIONAL,CERVEZAS,0.8082
20199297,CERVEZAS,AM IBAGUE TRADICIONALES,CERVEZAS,0.8278
20004090,CERVEZAS,AUTOSERVICIOS COLOMBIA ANTIG DEF,CERVEZAS,1
20201480,CERVEZAS,AM BOGOTA ON PREMISE_CERV,CERVEZAS,0.5178
20003865,CERVEZAS,TOTAL ATLANTICO,CERVEZAS,0.5643
20201434,CERVEZAS,DPTO BOYACA_CERV,CERVEZAS,0.7099
20003924,CERVEZAS,LICORERIAS CUNDI-BOY,CERVEZAS,1
20003961,CERVEZAS,TOTAL COLOMBIA METROPOLITANA,CERVEZAS,0.6638
20003878,CERVEZAS,AUTOSERVICIOS ORIENTE ANTIG DEF,CERVEZAS,1
20003960,CERVEZAS,TRADICIONALES + LICORERIAS CENTRO,CERVEZAS,0.7849
20003881,CERVEZAS,AUTOSERVICIOS CUNDINAMARCA ANTIG DEF,CERVEZAS,1
20126290,CERVEZAS,NEW_TOTAL CALI ORIENTE_75,CERVEZAS,0.7621
20003863,CERVEZAS,CONS LOCAL ANTIOQUIA ANTIG DEF,CERVEZAS,0.6854
20083550,CERVEZAS,SUPERMERCADOS INDEPENDIENTES (SUP+MIN) CUNDI_BOY,CERVEZAS,1
20003959,CERVEZAS,TRADICIONALES + LICORERIAS SANTANDERES,CERVEZAS,0.7121
20199310,CERVEZAS,AM BUCARAMANGA ON PREMISE,CERVEZAS,0.5593
20083356,CERVEZAS,TOTAL  MEDELLIN NORTE,CERVEZAS,0.8337
20126396,CERVEZAS,NEW_TOTAL ORIENTE ANTIG DEF_75,CERVEZAS,0.6813
20083607,CERVEZAS,TRADICIONALES + LICORERIAS COLOMBIA ANTIG DEF,CERVEZAS,0.7309
20083334,CERVEZAS,TOTAL COLOMBIA TRADICIONAL,CERVEZAS,0.7185
20083551,CERVEZAS,SUPERMERCADOS INDEPENDIENTES (SUP+MIN) EJE CAFETERO,CERVEZAS,1
20004032,CERVEZAS,TOTAL COLOMBIA TRADICIONAL,CERVEZAS,0.7185
20126337,CERVEZAS,NEW_TOTAL BOGOTA SUR_75,CERVEZAS,0.6614
20201477,CERVEZAS,AM MEDELLIN ON PREMISE_CERV,CERVEZAS,0.6362
20021665,CERVEZAS,LICORERIAS R/CENTRO AFI/COLOMBIA,CERVEZAS,1
20201423,CERVEZAS,DPTO ATLANTICO_CERV,CERVEZAS,0.6228
20083422,CERVEZAS,SUPERMERCADOS INDEPENDIENTES (SUP+MIN) LLANOS,CERVEZAS,1
20083362,CERVEZAS,TOTAL CENTRO CONVENIENCE,CERVEZAS,1
20199299,CERVEZAS,AM MEDELLIN TRADICIONALES,CERVEZAS,0.9017
20201471,CERVEZAS,AM CALI RESTO_CERV_SCAN,CERVEZAS,1
20083562,CERVEZAS,TOTAL BARRANQUILLA,CERVEZAS,0.6423
20201487,CERVEZAS,AM BOGOTA TRADICIONALES_CERV,CERVEZAS,0.7591
20083660,CERVEZAS,TOTAL CENTRO,CERVEZAS,0.6311
20083591,CERVEZAS,TOTAL CALI TRADICIONALES,CERVEZAS,0.7912
20126306,CERVEZAS,NEW_TOTAL EJE CAFETERO_75,CERVEZAS,0.6876
20083560,CERVEZAS,TOTAL  BOGOTA  ORIENTE,CERVEZAS,0.567
20003874,CERVEZAS,CONS LOCAL CENTRO ANTIG DEF,CERVEZAS,0.4682
20003885,CERVEZAS,TOTAL PACIFICO ANTIG DEF,CERVEZAS,0.6932
20126309,CERVEZAS,NEW_TOTAL CUNDI_BOY CONVENIENCE_75,CERVEZAS,1
20035052,CERVEZAS,LLANOS TRADICIONALES + CONS LOCAL,CERVEZAS,0.6527
20126302,CERVEZAS,NEW_TOTAL BARRANQUILLA OCCIDENTE_75,CERVEZAS,0.6546
20004071,CERVEZAS,SUPERMERCADOS INDEPENDIENTES (SUP+MIN) CENTRO ANTIG DEF,CERVEZAS,1
20126421,CERVEZAS,NEW_AUTOSERVICIOS ANTIOQUIA_CHOCO_75,CERVEZAS,1
20201474,CERVEZAS,AM PEREIRA RESTO_CERV_SCAN,CERVEZAS,1
20126330,CERVEZAS,NEW_TOTAL ANTIOQUIA ANTIG DEF_75,CERVEZAS,0.7831
20199129,CERVEZAS,DPTO ATLANTICO,CERVEZAS,0.6228
20126414,CERVEZAS,NEW_TOTAL LLANOS CONVENIENCE_75,CERVEZAS,1
20083613,CERVEZAS,TOTAL COLOMBIA CONVENIENCE,CERVEZAS,1
20004025,CERVEZAS,CONS LOCAL ANTIOQUIA-CHOCO,CERVEZAS,0.6938
20003987,CERVEZAS,TOTAL BARRANQUILLA TRADICIONALES PEQUE�,CERVEZAS,0.5319
20126419,CERVEZAS,NEW_TOTAL BARRANQUILLA ORIENTE_75,CERVEZAS,0.6333
20126398,CERVEZAS,NEW_AUTOSERVICIOS COLOMBIA ANTIG DEF_75,CERVEZAS,1
20083670,CERVEZAS,CONS LOCAL PACIFICO ANTIG DEF,CERVEZAS,0.4663
20199287,CERVEZAS,AM CUCUTA TRADICIONALES,CERVEZAS,0.7006
20003944,CERVEZAS,TOTAL PACIFICO TRADICIONALES + MINIMERCADOS,CERVEZAS,0.8236
20199300,CERVEZAS,AM BUCARAMANGA RESTO,CERVEZAS,1
20003972,CERVEZAS,TOTAL CENTRO CONVENIENCE,CERVEZAS,1
20083355,CERVEZAS,TOTAL  BOGOTA  NORTE,CERVEZAS,0.6123
20083427,CERVEZAS,TOTAL  BOGOTA  SUR,CERVEZAS,0.6614
20003907,CERVEZAS,TOTAL  CALI   NORTE,CERVEZAS,0.6493
20035065,CERVEZAS,TRADICIONALES + CONS LOCAL ATLANTICO,CERVEZAS,0.5468
20004050,CERVEZAS,SUPERMERCADOS INDEPENDIENTES (SUP+MIN) SANTANDERES,CERVEZAS,1
20083340,CERVEZAS,CONS LOCAL CENTRO,CERVEZAS,0.4376
20003889,CERVEZAS,CONS LOCAL PACIFICO ANTIG DEF,CERVEZAS,0.4663
20201478,CERVEZAS,AM IBAGUE TRADICIONALES_CERV,CERVEZAS,0.8278
20126314,CERVEZAS,NEW_TOTAL CUCUTA METRO_75,CERVEZAS,0.6465
20199122,CERVEZAS,DPTO BOYACA,CERVEZAS,0.7099
20199120,CERVEZAS,DPTO CUNDINAMARCA,CERVEZAS,0.6471
20199285,CERVEZAS,TOTAL 10 CIUDADES METRO,CERVEZAS,0.6638
20003998,CERVEZAS,TOTAL CUNDI-BOY,CERVEZAS,0.6418
20083595,CERVEZAS,TOTAL ANTIOQUIA_CHOCO,CERVEZAS,0.7845
20126303,CERVEZAS,NEW_AUTOSERVICIOS LLANOS_75,CERVEZAS,1
20083283,CERVEZAS,TOTAL  CALI   SUR,CERVEZAS,0.6446
20004036,CERVEZAS,TOTAL EJE CAFETERO TRADICIONAL,CERVEZAS,0.8082
20083425,CERVEZAS,TOTAL CUCUTA METRO,CERVEZAS,0.6465
20083475,CERVEZAS,AUTOSERVICIOS ANTIOQUIA_CHOCO,CERVEZAS,1
20003974,CERVEZAS,TOTAL SANTANDERES CONVENIENCE,CERVEZAS,1
20003971,CERVEZAS,TOTAL CUCUTA METRO,CERVEZAS,0.6465
20126357,CERVEZAS,NEW_TOTAL BOGOTA OCCIDENTE_75,CERVEZAS,0.619
20003990,CERVEZAS,TOTAL BOGOTA TRADICIONALES GRANDE,CERVEZAS,0.8044
20083472,CERVEZAS,TRADICIONALES + LICORERIAS EJE CAFETERO,CERVEZAS,0.8222
20003908,CERVEZAS,TOTAL BARRANQUILLA,CERVEZAS,0.6423
20126384,CERVEZAS,NEW_TOTAL MEDELLIN SUR_75,CERVEZAS,0.7046
20003966,CERVEZAS,TOTAL PEREIRA METRO,CERVEZAS,0.7294
20201484,CERVEZAS,AM CARTAGENA ON PREMISE_CERV,CERVEZAS,0.4174
20083417,CERVEZAS,TOTAL CUNDINAMARCA ANTIG DEF,CERVEZAS,0.6281
20083486,CERVEZAS,SUPERMERCADOS INDEPENDIENTES (SUP+MIN) PACIFICO ANTIG DEF,CERVEZAS,1
20004033,CERVEZAS,TOTAL LLANOS TRADICIONAL,CERVEZAS,0.7602
20201424,CERVEZAS,DPTO CHOCO_CERV,CERVEZAS,0.797
20003984,CERVEZAS,TOTAL MEDELLIN TRADICIONALES PEQUE�,CERVEZAS,0.8879
20003923,CERVEZAS,LICORERIAS EJE CAFETERO,CERVEZAS,1
20004067,CERVEZAS,SUPERMERCADOS INDEPENDIENTES (SUP+MIN) ORIENTE ANTIG DEF,CERVEZAS,1
20201421,CERVEZAS,DPTO SANTANDER NORTE DE SANTANDER_CERV,CERVEZAS,0.6674
20126394,CERVEZAS,NEW_TOTAL CENTRO CONVENIENCE_75,CERVEZAS,1
20083331,CERVEZAS,TOTAL MEDELLIN TRADICIONALES,CERVEZAS,0.9018
20083226,CERVEZAS,TOTAL CUNDI_BOY CONVENIENCE,CERVEZAS,1
20083333,CERVEZAS,TOTAL SANTANDERES,CERVEZAS,0.6674
20083223,CERVEZAS,TOTAL CALI TRADICIONALES GRANDE,CERVEZAS,0.8241
20126415,CERVEZAS,NEW_AUTOSERVICIOS CUNDINAMARCA ANTIG DEF_75,CERVEZAS,1
