MbdID,INDEX,MbdName,MBD Type,Target
20126364,CERVEZAS,NEW_TOTAL COLOMBIA_75,TOTAL COUNTRY,0.04
20126285,CERVEZAS,NEW_TOTAL COLOMBIA ANTIG DEF_75,MAJOR,0.1
20083535,CERVEZAS,TOTAL COLOMBIA,MAJOR,0.1
20083663,CERVEZAS,TOTAL COLOMBIA ANTIG DEF,MAJOR,0.1
20201389,CERVEZAS,TOTAL 14 MERCADOS DEPARTAMENTOS_CERV,MAJOR,0.1
20126315,CERVEZAS,NEW_TOTAL COLOMBIA METROPOLITANA_75,MAJOR,0.1
20201420,CERVEZAS,TOTAL 10 CIUDADES METRO_CERV_SCAN,MAJOR,0.1
20083715,CERVEZAS,TRADICIONALES + CONS LOCAL COLOMBIA,MAJOR,0.1
20083407,CERVEZAS,TOTAL COLOMBIA METROPOLITANA,MAJOR,0.1
20126360,CERVEZAS,NEW_AUTOSERVICIOS COLOMBIA_75,MAJOR,0.1
20126398,CERVEZAS,NEW_AUTOSERVICIOS COLOMBIA ANTIG DEF_75,MAJOR,0.1
20083207,CERVEZAS,AUTOSERVICIOS COLOMBIA,MAJOR,0.1
20083602,CERVEZAS,AUTOSERVICIOS COLOMBIA ANTIG DEF,MAJOR,0.1
20083412,CERVEZAS,CONSUMO LOCAL COLOMBIA,MAJOR,0.1
20083603,CERVEZAS,CONSUMO LOCAL COLOMBIA ANTIG DEF,MAJOR,0.1
20126323,CERVEZAS,NEW_TOTAL CUNDI_BOY_75,MAJOR,0.1
20126395,CERVEZAS,NEW_TOTAL ATLANTICO_75,MAJOR,0.1
20083409,CERVEZAS,TOTAL CUNDI_BOY,MAJOR,0.1
20126375,CERVEZAS,NEW_TOTAL CUNDINAMARCA ANTIG DEF_75,MAJOR,0.1
20083327,CERVEZAS,TRADICIONALES + LICORERIAS COLOMBIA,MAJOR,0.1
20083479,CERVEZAS,TOTAL ATLANTICO,MAJOR,0.1
20083607,CERVEZAS,TRADICIONALES + LICORERIAS COLOMBIA ANTIG DEF,MAJOR,0.1
20083417,CERVEZAS,TOTAL CUNDINAMARCA ANTIG DEF,MAJOR,0.1
20126379,CERVEZAS,NEW_TOTAL BOGOTA METRO_75,MAJOR,0.1
20083334,CERVEZAS,TOTAL COLOMBIA TRADICIONAL,MAJOR,0.1
20083608,CERVEZAS,TOTAL BOGOTA METRO,MAJOR,0.1
20126402,CERVEZAS,NEW_TOTAL BOGOTA_75,MAJOR,0.1
20083678,CERVEZAS,TOTAL  BOGOTA,MAJOR,0.1
20083464,CERVEZAS,CUNDI_BOY TRADICIONALES + CONS LOCAL,MAJOR,0.1
20083646,CERVEZAS,TRADICIONALES + CONS LOCAL ATLANTICO,MAJOR,0.1
20126322,CERVEZAS,NEW_TOTAL ANTIOQUIA_CHOCO_75,MAJOR,0.1
20126396,CERVEZAS,NEW_TOTAL ORIENTE ANTIG DEF_75,MAJOR,0.1
20126361,CERVEZAS,NEW_AUTOSERVICIOS CUNDI_BOY_75,MINOR,0.15
20126330,CERVEZAS,NEW_TOTAL ANTIOQUIA ANTIG DEF_75,MAJOR,0.1
20126424,CERVEZAS,NEW_TOTAL PACIFICO_75,MAJOR,0.1
20126415,CERVEZAS,NEW_AUTOSERVICIOS CUNDINAMARCA ANTIG DEF_75,MINOR,0.15
20083542,CERVEZAS,TOTAL ORIENTE ANTIG DEF,MAJOR,0.1
20126311,CERVEZAS,NEW_TOTAL PACIFICO ANTIG DEF_75,MAJOR,0.1
20126312,CERVEZAS,NEW_AUTOSERVICIOS ATLANTICO_75,MINOR,0.15
20083536,CERVEZAS,TOTAL PACIFICO,MAJOR,0.1
20201483,CERVEZAS,AM BOGOTA RESTO_CERV_SCAN,MINOR,0.15
20201422,CERVEZAS,DPTO BOGOTA DC_CERV,MAJOR,0.1
20083595,CERVEZAS,TOTAL ANTIOQUIA_CHOCO,MAJOR,0.1
20126310,CERVEZAS,NEW_TOTAL CENTRO ANTIG DEF_75,MAJOR,0.1
20083339,CERVEZAS,CONS LOCAL CUNDI_BOY,MAJOR,0.1
20083227,CERVEZAS,COLOMBIA RESTO SUPERMERCADOS_CERV_SCAN,MINOR,0.15
20083669,CERVEZAS,TOTAL PACIFICO ANTIG DEF,MAJOR,0.1
20083480,CERVEZAS,TOTAL ANTIOQUIA ANTIG DEF,MAJOR,0.1
20083597,CERVEZAS,AUTOSERVICIOS CUNDI_BOY,MINOR,0.15
20083664,CERVEZAS,AUTOSERVICIOS ATLANTICO,MINOR,0.15
20083212,CERVEZAS,TOTAL CENTRO ANTIG DEF,MAJOR,0.1
20083544,CERVEZAS,AUTOSERVICIOS CUNDINAMARCA ANTIG DEF,MINOR,0.15
20083210,CERVEZAS,CONS LOCAL ATLANTICO,MAJOR,0.1
20083667,CERVEZAS,CONS LOCAL C_MARCA ANTIG DEF,MAJOR,0.1
20126399,CERVEZAS,NEW_TOTAL MEDELLIN METRO_75,MAJOR,0.1
20126341,CERVEZAS,NEW_TOTAL SANTANDERES_75,MAJOR,0.1
20126421,CERVEZAS,NEW_AUTOSERVICIOS ANTIOQUIA_CHOCO_75,MINOR,0.15
20201480,CERVEZAS,AM BOGOTA ON PREMISE_CERV,MAJOR,0.1
20126332,CERVEZAS,NEW_AUTOSERVICIOS ANTIOQUIA ANTIG DEF_75,MINOR,0.15
20083333,CERVEZAS,TOTAL SANTANDERES,MAJOR,0.1
20083556,CERVEZAS,TOTAL MEDELLIN METRO,MAJOR,0.1
20126401,CERVEZAS,NEW_TOTAL BOGOTA NORTE_75,MAJOR,0.1
20126333,CERVEZAS,NEW_TOTAL BARRANQUILLA METRO_75,MAJOR,0.1
20083530,CERVEZAS,TRADICIONALES + LICORERIAS CUNDI-BOY,MAJOR,0.1
20203919,CERVEZAS,CONSUMO LOCAL BOGOTA,MAJOR,0.1
20083676,CERVEZAS,TRADICIONALES + LICORERIAS ATLANTICO,MAJOR,0.1
20201427,CERVEZAS,DPTO BOLIVAR CORDOBA SUCRE_CERV,MAJOR,0.1
20083677,CERVEZAS,TOTAL BARRANQUILLA METRO,MAJOR,0.1
20126358,CERVEZAS,NEW_TOTAL MEDELLIN_75,MINOR,0.15
20083524,CERVEZAS,PACIFICO TRADICIONALES + CONS LOCAL,MAJOR,0.1
20126354,CERVEZAS,NEW_TOTAL CALI METRO_75,MINOR,0.15
20083336,CERVEZAS,TOTAL CUNDI_BOY TRADICIONAL,MAJOR,0.1
20126404,CERVEZAS,NEW_AUTOSERVICIOS PACIFICO_75,MINOR,0.15
20201432,CERVEZAS,DPTO ANTIOQUIA_CERV,MAJOR,0.1
20083348,CERVEZAS,TRADICIONALES + LICORERIAS C_MARCA ANTIG DEF,MAJOR,0.1
20126306,CERVEZAS,NEW_TOTAL EJE CAFETERO_75,MINOR,0.15
20083355,CERVEZAS,TOTAL  BOGOTA  NORTE,MAJOR,0.1
20126397,CERVEZAS,NEW_AUTOSERVICIOS PACIFICO ANTIG DEF_75,MINOR,0.15
20083716,CERVEZAS,ANTIOQUIA_CHOCO TRADICIONALES + CONS LOCAL,MAJOR,0.1
20201495,CERVEZAS,AM MEDELLIN RESTO_CERV_SCAN,MINOR,0.15
20083410,CERVEZAS,TOTAL ATLANTICO TRADICIONAL,MAJOR,0.1
20083609,CERVEZAS,TOTAL CALI METRO,MINOR,0.15
20126337,CERVEZAS,NEW_TOTAL BOGOTA SUR_75,MAJOR,0.1
20126381,CERVEZAS,NEW_TOTAL BARRANQUILLA_75,MINOR,0.15
20126331,CERVEZAS,NEW_AUTOSERVICIOS ORIENTE ANTIG DEF_75,MINOR,0.15
20126286,CERVEZAS,NEW_AUTOSERVICIOS CENTRO ANTIG DEF_75,MINOR,0.15
20201421,CERVEZAS,DPTO SANTANDER NORTE DE SANTANDER_CERV,MAJOR,0.1
20083282,CERVEZAS,TOTAL  MEDELLIN,MINOR,0.15
20083204,CERVEZAS,TOTAL EJE CAFETERO,MINOR,0.15
20083427,CERVEZAS,TOTAL  BOGOTA  SUR,MAJOR,0.1
20126340,CERVEZAS,NEW_TOTAL CENTRO_75,MAJOR,0.1
20083562,CERVEZAS,TOTAL BARRANQUILLA,MINOR,0.15
20126318,CERVEZAS,NEW_TOTAL CALI_75,MINOR,0.15
20083666,CERVEZAS,CONS LOCAL ORIENTE ANTIG DEF,MAJOR,0.1
20201423,CERVEZAS,DPTO ATLANTICO_CERV,MAJOR,0.1
20083475,CERVEZAS,AUTOSERVICIOS ANTIOQUIA_CHOCO,MINOR,0.15
20083541,CERVEZAS,AUTOSERVICIOS ANTIOQUIA ANTIG DEF,MINOR,0.15
20201433,CERVEZAS,DPTO VALLE DEL CAUCA_CERV,MAJOR,0.1
20201426,CERVEZAS,DPTO CESAR LA GUAJIRA MAGDALENA_CERV,MAJOR,0.1
20083394,CERVEZAS,SANTANDERES TRADICIONALES + CONS LOCAL,MAJOR,0.1
20083660,CERVEZAS,TOTAL CENTRO,MAJOR,0.1
20201431,CERVEZAS,DPTO CUNDINAMARCA_CERV,MAJOR,0.1
20083477,CERVEZAS,AUTOSERVICIOS PACIFICO,MINOR,0.15
20083546,CERVEZAS,AUTOSERVICIOS PACIFICO ANTIG DEF,MINOR,0.15
20126386,CERVEZAS,NEW_TOTAL LLANOS_75,MINOR,0.15
20083561,CERVEZAS,TOTAL  CALI,MINOR,0.15
20083727,CERVEZAS,TOTAL PACIFICO TRADICIONALES + MINIMERCADOS,MAJOR,0.1
20126357,CERVEZAS,NEW_TOTAL BOGOTA OCCIDENTE_75,MINOR,0.15
20083729,CERVEZAS,TRADICIONALES + LICORERIAS PACIFICO,MAJOR,0.1
20201487,CERVEZAS,AM BOGOTA TRADICIONALES_CERV,MAJOR,0.1
20126351,CERVEZAS,NEW_TOTAL CARTAGENA METRO_75,MINOR,0.15
20083332,CERVEZAS,TOTAL LLANOS,MINOR,0.15
20083545,CERVEZAS,AUTOSERVICIOS CENTRO ANTIG DEF,MINOR,0.15
20201425,CERVEZAS,DPTO CAQUETA ARAUCA CASANARE PUTUMAYO META_CERV,MAJOR,0.1
20083220,CERVEZAS,TOTAL CARTAGENA METRO,MINOR,0.15
20083490,CERVEZAS,TOTAL  BOGOTA  OCCIDENTE,MINOR,0.15
20083219,CERVEZAS,TRADICIONALES + LICORERIAS ORIENTE ANTIG DEF,MAJOR,0.1
20083277,CERVEZAS,TRADICIONALES + LICORERIAS PACIFICO ANTIG DEF,MAJOR,0.1
20083600,CERVEZAS,AUTOSERVICIOS ORIENTE ANTIG DEF,MINOR,0.15
20083478,CERVEZAS,LICORERIAS COLOMBIA,MAJOR,0.1
20201488,CERVEZAS,AM BARRANQUILLA RESTO_CERV_SCAN,VERY MINOR,0.2
20201471,CERVEZAS,AM CALI RESTO_CERV_SCAN,MINOR,0.15
20083337,CERVEZAS,TOTAL PACIFICO TRADICIONAL,MAJOR,0.1
20126405,CERVEZAS,NEW_AUTOSERVICIOS SANTANDERES_75,MINOR,0.15
20126293,CERVEZAS,NEW_TOTAL BOYACA_75,MINOR,0.15
20126382,CERVEZAS,NEW_TOTAL BOGOTA ORIENTE_75,MINOR,0.15
20083531,CERVEZAS,TOTAL BOGOTA TRADICIONALES,MINOR,0.15
20126319,CERVEZAS,NEW_AUTOSERVICIOS EJE CAFETERO_75,VERY MINOR,0.2
20201430,CERVEZAS,DPTO HUILA TOLIMA_CERV,MINOR,0.15
20083413,CERVEZAS,CONS LOCAL ANTIOQUIA_CHOCO,MINOR,0.15
20083728,CERVEZAS,TOTAL CENTRO TRADICIONALES + MINIMERCADOS ANTIG DEF,MINOR,0.15
20126419,CERVEZAS,NEW_TOTAL BARRANQUILLA ORIENTE_75,MINOR,0.15
20083565,CERVEZAS,TOTAL BOYACA,MINOR,0.15
20083599,CERVEZAS,CONS LOCAL ANTIOQUIA ANTIG DEF,MINOR,0.15
20083349,CERVEZAS,TRADICIONALES + LICORERIAS CENTRO ANTIG DEF,MINOR,0.15
20083466,CERVEZAS,LLANOS TRADICIONALES + CONS LOCAL,MINOR,0.15
20126353,CERVEZAS,NEW_TOTAL BUCARAMANGA METRO_75,MINOR,0.15
20083560,CERVEZAS,TOTAL  BOGOTA  ORIENTE,MINOR,0.15
20083563,CERVEZAS,TOTAL BARRANQUILLA ORIENTE,MINOR,0.15
20083655,CERVEZAS,TRADICIONALES + LICORERIAS ANTIOQUIA-CHOCO,MINOR,0.15
20083465,CERVEZAS,CENTRO TRADICIONALES + CONS LOCAL,MINOR,0.15
20126403,CERVEZAS,NEW_TOTAL CALI NORTE_75,MINOR,0.15
20083596,CERVEZAS,CONS LOCAL PACIFICO,MINOR,0.15
20126589,CERVEZAS,NEW_TOTAL COLOMBIA CONVENIENCE_75,MINOR,0.15
20083488,CERVEZAS,TOTAL BUCARAMANGA METRO,MINOR,0.15
20083481,CERVEZAS,CONS LOCAL CENTRO ANTIG DEF,MINOR,0.15
20126289,CERVEZAS,NEW_TOTAL MEDELLIN CENTRO_75,MINOR,0.15
20083613,CERVEZAS,TOTAL COLOMBIA CONVENIENCE,MINOR,0.15
20201428,CERVEZAS,DPTO CALDAS QUINDIO RISARALDA_CERV,MINOR,0.15
20201434,CERVEZAS,DPTO BOYACA_CERV,MINOR,0.15
20083205,CERVEZAS,TOTAL ANTIOQUIA_CHOCO TRADICIONAL,MINOR,0.15
20083214,CERVEZAS,SUPERMERCADOS INDEPENDIENTES (SUP+MIN) COLOMBIA,MINOR,0.15
20083341,CERVEZAS,AUTOSERVICIOS EJE CAFETERO,VERY MINOR,0.2
20083328,CERVEZAS,TRADICIONALES + LICORERIAS SANTANDERES,MINOR,0.15
20083670,CERVEZAS,CONS LOCAL PACIFICO ANTIG DEF,MINOR,0.15
20083675,CERVEZAS,SUPERMERCADOS INDEPENDIENTES (SUP+MIN) COLOMBIA ANTIG DEF,MINOR,0.15
20083681,CERVEZAS,TOTAL BOYACA TRAD + CONS LOCAL,MINOR,0.15
20083414,CERVEZAS,AUTOSERVICIOS SANTANDERES,MINOR,0.15
20083612,CERVEZAS,TOTAL  CALI   NORTE,MINOR,0.15
20083218,CERVEZAS,TRADICIONALES + LICORERIAS ANTIOQUIA ANTIG DEF,MINOR,0.15
20201470,CERVEZAS,AM CARTAGENA RESTO_CERV_SCAN,VERY MINOR,0.2
20083271,CERVEZAS,CONS LOCAL SANTANDERES,MINOR,0.15
20083335,CERVEZAS,TOTAL SANTANDERES TRADICIONAL,MINOR,0.15
20083467,CERVEZAS,EJE CAFETERO TRADICIONALES + CONS LOCAL,MINOR,0.15
20083357,CERVEZAS,TOTAL  MEDELLIN CENTRO,MINOR,0.15
20126302,CERVEZAS,NEW_TOTAL BARRANQUILLA OCCIDENTE_75,MINOR,0.15
20126352,CERVEZAS,NEW_TOTAL PEREIRA METRO_75,MINOR,0.15
20201477,CERVEZAS,AM MEDELLIN ON PREMISE_CERV,MINOR,0.15
20083338,CERVEZAS,CONS LOCAL LLANOS,MINOR,0.15
20083358,CERVEZAS,TOTAL BARRANQUILLA OCCIDENTE,MINOR,0.15
20126359,CERVEZAS,NEW_AUTOSERVICIOS CENTRO_75,VERY MINOR,0.2
20126314,CERVEZAS,NEW_TOTAL CUCUTA METRO_75,MINOR,0.15
20126384,CERVEZAS,NEW_TOTAL MEDELLIN SUR_75,MINOR,0.15
20126383,CERVEZAS,NEW_TOTAL MEDELLIN NORTE_75,MINOR,0.15
20201429,CERVEZAS,DPTO CAUCA NARINO_CERV,MINOR,0.15
20083222,CERVEZAS,TOTAL BOGOTA TRADICIONALES PEQUE?,MINOR,0.15
20083555,CERVEZAS,TOTAL PEREIRA METRO,MINOR,0.15
20201486,CERVEZAS,AM BARRANQUILLA TRADICIONALES_CERV,MINOR,0.15
20201490,CERVEZAS,AM BUCARAMANGA RESTO_CERV_SCAN,VERY MINOR,0.2
20201467,CERVEZAS,AM CALI TRADICIONALES_CERV,MINOR,0.15
20126287,CERVEZAS,NEW_TOTAL VILLAVICENCIO METRO_75,MINOR,0.15
20083340,CERVEZAS,CONS LOCAL CENTRO,MINOR,0.15
20083359,CERVEZAS,TOTAL BOGOTA TRADICIONALES GRANDE,MINOR,0.15
20083330,CERVEZAS,TRADICIONALES + LICORERIAS CENTRO,MINOR,0.15
20083425,CERVEZAS,TOTAL CUCUTA METRO,MINOR,0.15
20083611,CERVEZAS,TOTAL  MEDELLIN SUR,MINOR,0.15
20083278,CERVEZAS,TOTAL VILLAVICENCIO METRO,MINOR,0.15
20201475,CERVEZAS,AM BARRANQUILLA ON PREMISE_CERV,MINOR,0.15
20083472,CERVEZAS,TRADICIONALES + LICORERIAS EJE CAFETERO,MINOR,0.15
20083356,CERVEZAS,TOTAL  MEDELLIN NORTE,MINOR,0.15
20126309,CERVEZAS,NEW_TOTAL CUNDI_BOY CONVENIENCE_75,MINOR,0.15
20126290,CERVEZAS,NEW_TOTAL CALI ORIENTE_75,MINOR,0.15
20083591,CERVEZAS,TOTAL CALI TRADICIONALES,MINOR,0.15
20083476,CERVEZAS,AUTOSERVICIOS CENTRO,VERY MINOR,0.2
20083474,CERVEZAS,TOTAL CENTRO TRADICIONAL,MINOR,0.15
20083226,CERVEZAS,TOTAL CUNDI_BOY CONVENIENCE,MINOR,0.15
20083428,CERVEZAS,TOTAL  CALI   ORIENTE,MINOR,0.15
20126303,CERVEZAS,NEW_AUTOSERVICIOS LLANOS_75,VERY MINOR,0.2
20201474,CERVEZAS,AM PEREIRA RESTO_CERV_SCAN,VERY MINOR,0.2
20083206,CERVEZAS,TOTAL EJE CAFETERO TRADICIONAL,MINOR,0.15
20201493,CERVEZAS,AM MEDELLIN TRADICIONALES_CERV,MINOR,0.15
20083329,CERVEZAS,TRADICIONALES + LICORERIAS LLANOS,MINOR,0.15
20083532,CERVEZAS,TOTAL BARRANQUILLA TRADICIONALES,MINOR,0.15
20126378,CERVEZAS,NEW_TOTAL IBAGUE METROPOLITANA_75,MINOR,0.15
20083537,CERVEZAS,CONS LOCAL EJE CAFETERO,MINOR,0.15
20201489,CERVEZAS,AM CALI ON PREMISE_CERV,MINOR,0.15
20083411,CERVEZAS,TOTAL LLANOS TRADICIONAL,MINOR,0.15
20083211,CERVEZAS,LICORERIAS ATLANTICO,MINOR,0.15
20165892,CERVEZAS,COL R CENTRO + EJE CAFETERO+ LLANOS + SANTANDERES LICORERIAS,MINOR,0.15
20201476,CERVEZAS,AM CUCUTA RESTO_CERV_SCAN,VERY MINOR,0.2
20083487,CERVEZAS,TOTAL IBAGUE METROPOLITANA,VERY MINOR,0.2
20083550,CERVEZAS,SUPERMERCADOS INDEPENDIENTES (SUP+MIN) CUNDI_BOY,MINOR,0.15
20201469,CERVEZAS,AM CARTAGENA TRADICIONALES_CERV,MINOR,0.15
20083272,CERVEZAS,AUTOSERVICIOS LLANOS,VERY MINOR,0.2
20126420,CERVEZAS,NEW_TOTAL CALI SUR_75,VERY MINOR,0.2
20083554,CERVEZAS,SUPERMERCADOS INDEPENDIENTES (SUP+MIN) C_MARCA ANTIG DEF,MINOR,0.15
20201484,CERVEZAS,AM CARTAGENA ON PREMISE_CERV,MINOR,0.15
20201481,CERVEZAS,AM BUCARAMANGA ON PREMISE_CERV,MINOR,0.15
20083331,CERVEZAS,TOTAL MEDELLIN TRADICIONALES,MINOR,0.15
20201424,CERVEZAS,DPTO CHOCO_CERV,MINOR,0.15
20083224,CERVEZAS,TOTAL CALI TRADICIONALES PEQUE?,MINOR,0.15
20083283,CERVEZAS,TOTAL  CALI   SUR,VERY MINOR,0.2
20083592,CERVEZAS,COLOMBIA SUPERMERCADOS_INDEPENDIENTES,MINOR,0.15
20083656,CERVEZAS,COLOMBIA SUPERMERCADOS_INDEPENDIENTES ANTIG DEF,VERY MINOR,0.2
20021662,CERVEZAS,LICORERIAS R/COLOMBIA,VERY MINOR,0.2
20201485,CERVEZAS,AM VILLAVICENCIO RESTO_CERV_SCAN,VERY MINOR,0.2
20083223,CERVEZAS,TOTAL CALI TRADICIONALES GRANDE,VERY MINOR,0.2
20083361,CERVEZAS,TOTAL BARRANQUILLA TRADICIONALES GRANDE,VERY MINOR,0.2
20083342,CERVEZAS,LICORERIAS PACIFICO,VERY MINOR,0.2
20083273,CERVEZAS,LICORERIAS CUNDI_BOY,VERY MINOR,0.2
20201466,CERVEZAS,AM VILLAVICENCIO ON PREMISE_CERV,VERY MINOR,0.2
20201492,CERVEZAS,AM BUCARAMANGA TRADICIONALES_CERV,VERY MINOR,0.2
20201468,CERVEZAS,AM IBAGUE RESTO_CERV_SCAN,VERY MINOR,0.2
20126413,CERVEZAS,NEW_TOTAL ANTIOQUIA_CHOCO CONVENIENCE_75,VERY MINOR,0.2
20083284,CERVEZAS,TOTAL BARRANQUILLA TRADICIONALES PEQUE?,VERY MINOR,0.2
20201479,CERVEZAS,AM CUCUTA TRADICIONALES_CERV,VERY MINOR,0.2
20083672,CERVEZAS,SUPERMERCADOS INDEPENDIENTES (SUP+MIN) ANTIOQUIA_CHOCO,VERY MINOR,0.2
20083485,CERVEZAS,SUPERMERCADOS INDEPENDIENTES (SUP+MIN) ANTIOQUIA ANTIG DEF,VERY MINOR,0.2
